interval,threads,rate,MB/sec,bytes/io,read%,resp,read_resp,write_resp,resp_max,read_max,write_max,resp_std,queue_depth,cpu_used,cpu_user
297,4,104049,1625.7656,16384,49.8986,1.1872,0.3816,1.9896,13.736,2.785,13.736,0.9389,123.6028,5.9443,0.6873
298,4,104372,1630.8125,16384,49.7442,1.1853,0.3813,1.9812,12.759,10.362,12.759,0.9178,123.6022,5.7527,0.6066
299,4,104678,1635.5938,16384,50.2484,1.1805,0.3776,1.9913,12.738,12.277,12.738,0.9491,123.5714,5.8226,0.6955
300,4,104705,1636.0156,16384,49.9317,1.1801,0.3834,1.9746,13.486,13.486,11.619,0.9233,123.5677,5.866,0.6953
301,4,105225,1644.1406,16384,50.1155,1.1743,0.381,1.9712,10.329,10.329,9.009,0.9014,123.5669,5.9218,0.6957
302,4,104560,1633.75,16384,50.1922,1.1823,0.3837,1.987,9.136,4.967,9.136,0.9184,123.6099,6.0401,0.7483
303,4,104177,1627.7656,16384,49.8805,1.1863,0.384,1.9848,7.203,2.846,7.203,0.9097,123.623,5.7616,0.66
304,4,105165,1643.2031,16384,50.1517,1.1757,0.3801,1.9762,6.043,2.915,6.043,0.9026,123.6181,5.7797,0.6501
305,4,104340,1630.3125,16384,49.9358,1.1851,0.381,1.9871,10.024,3.038,10.024,0.9165,123.6339,5.5986,0.5616
306,4,105032,1641.125,16384,50.2123,1.1767,0.379,1.9813,6.272,2.984,6.272,0.9079,123.6247,5.6289,0.562
307,4,105894,1654.5938,16384,50.136,1.1677,0.38,1.9598,6.648,3.422,6.648,0.8937,123.6266,5.7317,0.6338
308,4,105128,1642.625,16384,50.1303,1.1757,0.3807,1.9749,6.438,2.733,6.438,0.9027,123.6112,6.0303,0.7404
309,4,104615,1634.6094,16384,49.9919,1.1816,0.3824,1.9806,14.602,2.593,14.602,0.94,123.6209,5.771,0.6154
310,4,103948,1624.1875,16384,49.9019,1.1893,0.3815,1.994,12.706,3.516,12.706,0.9524,123.6396,5.7335,0.5975
311,4,104377,1630.8906,16384,49.9832,1.1846,0.3838,1.9849,9.438,4.678,9.438,0.9129,123.653,5.6767,0.5881
312,4,104650,1635.1562,16384,49.892,1.1842,0.3798,1.9851,12.745,12.273,12.745,0.9196,123.9076,5.9035,0.6679
313,4,104851,1638.2969,16384,50.3228,1.1759,0.3792,1.983,9.884,5.361,9.884,0.9214,123.2921,6.0482,0.7137
